Latitude (decimal degrees):	24.089
Longitude (decimal degrees):	32.900
Elevation (m):	107
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: 3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0008,0.0,0.0,10.93,3.03,0.0
20230101:0108,0.0,0.0,9.97,2.97,0.0
20230101:0208,0.0,0.0,9.14,2.9,0.0
20230101:0308,0.0,0.0,8.3,2.76,0.0
20230101:0408,0.0,0.0,7.44,2.55,0.0
20230101:0508,163.65,6.72,6.97,2.21,0.0
20230101:0608,458.86,18.24,8.72,1.66,0.0
20230101:0708,707.95,28.47,12.98,1.93,0.0
20230101:0808,884.58,36.66,15.7,2.41,0.0
20230101:0908,997.23,41.75,17.82,2.62,0.0
20230101:1008,1013.12,42.72,19.45,2.48,0.0
20230101:1108,951.65,39.34,20.58,2.34,0.0
20230101:1208,808.5,32.37,21.23,2.48,0.0
20230101:1308,570.0,22.92,21.51,2.76,0.0
20230101:1408,316.34,11.89,21.37,3.03,0.0
20230101:1508,0.0,0.0,20.76,2.83,0.0
20230101:1608,0.0,0.0,19.6,2.48,0.0
20230101:1708,0.0,0.0,18.56,2.28,0.0
20230101:1808,0.0,0.0,17.27,2.34,0.0
20230101:1908,0.0,0.0,16.09,2.62,0.0
20230101:2008,0.0,0.0,14.87,2.9,0.0
20230101:2108,0.0,0.0,13.66,3.1,0.0
20230101:2208,0.0,0.0,12.6,3.38,0.0
20230101:2308,0.0,0.0,11.66,3.59,0.0
20230102:0008,0.0,0.0,10.79,3.66,0.0
20230102:0108,0.0,0.0,9.96,3.52,0.0
20230102:0208,0.0,0.0,9.2,3.38,0.0
20230102:0308,0.0,0.0,8.43,3.1,0.0
20230102:0408,0.0,0.0,7.65,2.76,0.0
20230102:0508,161.04,6.67,7.18,2.48,0.0
20230102:0608,459.41,18.21,8.83,2.07,0.0
20230102:0708,713.53,28.46,13.03,2.34,0.0
20230102:0808,884.62,36.68,15.53,2.97,0.0
20230102:0908,998.61,41.81,17.56,3.1,0.0
20230102:1008,1023.49,42.82,19.14,2.69,0.0
20230102:1108,967.31,39.46,20.18,2.28,0.0
20230102:1208,817.89,32.5,20.87,2.41,0.0
20230102:1308,583.28,23.05,21.24,2.69,0.0
20230102:1408,323.54,12.02,21.14,3.1,0.0
20230102:1508,0.0,0.0,20.46,3.1,0.0
20230102:1608,0.0,0.0,19.14,2.97,0.0
20230102:1708,0.0,0.0,18.03,3.03,0.0
20230102:1808,0.0,0.0,16.97,2.97,0.0
20230102:1908,0.0,0.0,15.97,2.9,0.0
20230102:2008,0.0,0.0,14.86,3.03,0.0
20230102:2108,0.0,0.0,13.79,3.31,0.0
20230102:2208,0.0,0.0,12.69,3.59,0.0
20230102:2308,0.0,0.0,11.85,3.72,0.0
20230103:0008,0.0,0.0,11.05,3.72,0.0
20230103:0108,0.0,0.0,10.33,3.72,0.0
20230103:0208,0.0,0.0,9.75,3.72,0.0
20230103:0308,0.0,0.0,9.24,3.66,0.0
20230103:0408,0.0,0.0,8.73,3.45,0.0
20230103:0508,155.39,6.63,8.41,3.24,0.0
20230103:0608,452.85,18.18,10.09,2.97,0.0
20230103:0708,686.53,28.46,13.31,3.24,0.0
20230103:0808,871.81,36.71,15.76,4.07,0.0
20230103:0908,978.91,41.88,17.64,4.55,0.0
20230103:1008,1015.82,42.92,18.94,4.28,0.0
20230103:1108,948.86,39.59,19.91,4.21,0.0
20230103:1208,808.11,32.63,20.56,4.55,0.0
20230103:1308,566.16,23.19,20.83,4.97,0.0
20230103:1408,321.31,12.16,20.61,5.1,0.0
20230103:1508,0.0,0.0,19.84,4.41,0.0
20230103:1608,0.0,0.0,18.58,3.66,0.0
20230103:1708,0.0,0.0,17.43,3.59,0.0
20230103:1808,0.0,0.0,16.29,3.79,0.0
20230103:1908,0.0,0.0,15.23,4.0,0.0
20230103:2008,0.0,0.0,14.26,4.14,0.0
20230103:2108,0.0,0.0,13.37,4.07,0.0
20230103:2208,0.0,0.0,12.56,3.86,0.0
20230103:2308,0.0,0.0,11.8,3.66,0.0
20230104:0008,0.0,0.0,11.1,3.59,0.0
20230104:0108,0.0,0.0,10.46,3.52,0.0
20230104:0208,0.0,0.0,9.89,3.45,0.0
20230104:0308,0.0,0.0,9.34,3.31,0.0
20230104:0408,0.0,0.0,8.74,3.03,0.0
20230104:0508,136.17,6.59,8.23,2.76,0.0
20230104:0608,427.14,18.16,9.8,2.21,0.0
20230104:0708,689.6,28.47,13.76,2.69,0.0
20230104:0808,871.48,36.75,15.95,3.52,0.0
20230104:0908,978.72,41.95,17.83,4.0,0.0
20230104:1008,1009.91,43.03,19.37,4.28,0.0
20230104:1108,949.5,39.72,20.44,4.41,0.0
20230104:1208,824.88,32.78,21.07,4.62,0.0
20230104:1308,592.63,23.33,21.32,5.03,0.0
20230104:1408,319.55,12.3,21.13,5.45,0.0
20230104:1508,0.0,0.0,20.34,5.17,0.0
20230104:1608,0.0,0.0,19.14,4.9,0.0
20230104:1708,0.0,0.0,18.05,5.03,0.0
20230104:1808,0.0,0.0,17.0,4.9,0.0
20230104:1908,0.0,0.0,15.79,4.76,0.0
20230104:2008,0.0,0.0,14.8,4.48,0.0
20230104:2108,0.0,0.0,13.86,4.21,0.0
20230104:2208,0.0,0.0,13.02,4.0,0.0
20230104:2308,0.0,0.0,12.26,3.86,0.0
20230105:0008,0.0,0.0,11.58,3.66,0.0
20230105:0108,0.0,0.0,10.97,3.52,0.0
20230105:0208,0.0,0.0,10.44,3.38,0.0
20230105:0308,0.0,0.0,9.91,3.24,0.0
20230105:0408,0.0,0.0,9.41,3.17,0.0
20230105:0508,128.59,6.56,9.08,3.17,0.0
20230105:0608,418.91,18.15,10.7,2.97,0.0
20230105:0708,681.15,28.48,13.79,3.66,0.0
20230105:0808,860.82,36.79,16.03,4.14,0.0
20230105:0908,981.09,42.03,17.99,4.21,0.0
20230105:1008,1025.15,43.15,19.51,3.93,0.0
20230105:1108,964.83,39.86,20.52,3.72,0.0
20230105:1208,833.72,32.92,21.17,3.66,0.0
20230105:1308,613.02,23.48,21.46,3.93,0.0
20230105:1408,339.77,12.44,21.39,4.21,0.0
20230105:1508,0.0,0.0,20.8,4.14,0.0
20230105:1608,0.0,0.0,19.64,3.86,0.0
20230105:1708,0.0,0.0,18.61,4.14,0.0
20230105:1808,0.0,0.0,17.67,4.41,0.0
20230105:1908,0.0,0.0,16.82,4.48,0.0
20230105:2008,0.0,0.0,15.97,4.34,0.0
20230105:2108,0.0,0.0,15.08,4.21,0.0
20230105:2208,0.0,0.0,14.17,4.28,0.0
20230105:2308,0.0,0.0,13.28,4.28,0.0
20230106:0008,0.0,0.0,12.51,4.07,0.0
20230106:0108,0.0,0.0,11.79,3.93,0.0
20230106:0208,0.0,0.0,11.18,3.93,0.0
20230106:0308,0.0,0.0,10.64,3.93,0.0
20230106:0408,0.0,0.0,10.13,3.86,0.0
20230106:0508,143.79,6.53,9.74,3.66,0.0
20230106:0608,444.09,18.14,11.31,3.52,0.0
20230106:0708,689.08,28.49,14.18,4.07,0.0
20230106:0808,875.95,36.85,16.49,4.34,0.0
20230106:0908,985.68,42.12,18.38,4.34,0.0
20230106:1008,1011.4,43.27,19.73,3.93,0.0
20230106:1108,952.26,40.0,20.6,3.66,0.0
20230106:1208,812.84,33.07,21.1,3.66,0.0
20230106:1308,601.53,23.63,21.33,3.93,0.0
20230106:1408,331.67,12.59,21.19,4.21,0.0
20230106:1508,0.0,0.0,20.54,4.07,0.0
