Latitude (decimal degrees):	62.008
Longitude (decimal degrees):	-6.771
Elevation (m):	5
Radiation database:	PVGIS-ERA5


Slope: 46 deg. (optimum)
Azimuth: 1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,3.55,10.97,0.0
20230101:0130,0.0,0.0,3.7,11.52,0.0
20230101:0230,0.0,0.0,3.87,12.0,0.0
20230101:0330,0.0,0.0,4.07,12.62,0.0
20230101:0430,0.0,0.0,4.36,12.9,0.0
20230101:0530,0.0,0.0,4.67,12.97,0.0
20230101:0630,0.0,0.0,4.94,12.69,0.0
20230101:0730,0.0,0.0,5.1,12.9,0.0
20230101:0830,0.0,0.0,5.11,12.62,0.0
20230101:0930,0.0,0.0,5.22,12.76,0.0
20230101:1030,7.48,1.63,5.06,12.14,0.0
20230101:1130,151.05,4.12,4.5,11.72,0.0
20230101:1230,144.68,4.98,4.14,10.9,0.0
20230101:1330,165.88,4.15,4.06,10.14,0.0
20230101:1430,7.43,1.69,3.97,9.17,0.0
20230101:1530,0.0,0.0,3.85,8.34,0.0
20230101:1630,0.0,0.0,4.13,7.45,0.0
20230101:1730,0.0,0.0,4.37,6.97,0.0
20230101:1830,0.0,0.0,4.45,6.34,0.0
20230101:1930,0.0,0.0,4.41,5.93,0.0
20230101:2030,0.0,0.0,4.27,5.66,0.0
20230101:2130,0.0,0.0,4.0,5.45,0.0
20230101:2230,0.0,0.0,3.42,4.55,0.0
20230101:2330,0.0,0.0,3.13,4.62,0.0
20230102:0030,0.0,0.0,2.89,4.48,0.0
20230102:0130,0.0,0.0,2.62,4.34,0.0
20230102:0230,0.0,0.0,2.54,4.07,0.0
20230102:0330,0.0,0.0,2.76,3.59,0.0
20230102:0430,0.0,0.0,3.15,2.9,0.0
20230102:0530,0.0,0.0,3.18,2.14,0.0
20230102:0630,0.0,0.0,3.23,1.45,0.0
20230102:0730,0.0,0.0,3.27,1.17,0.0
20230102:0830,0.0,0.0,3.33,1.66,0.0
20230102:0930,0.0,0.0,3.06,2.69,0.0
20230102:1030,8.14,1.69,2.77,2.76,0.0
20230102:1130,171.11,4.2,3.05,3.59,0.0
20230102:1230,233.6,5.07,3.6,4.48,0.0
20230102:1330,144.79,4.25,4.02,5.03,0.0
20230102:1430,7.47,1.8,3.74,5.1,0.0
20230102:1530,0.0,0.0,3.6,5.31,0.0
20230102:1630,0.0,0.0,3.68,5.45,0.0
20230102:1730,0.0,0.0,3.8,5.24,0.0
20230102:1830,0.0,0.0,4.07,5.1,0.0
20230102:1930,0.0,0.0,4.37,5.52,0.0
20230102:2030,0.0,0.0,4.73,6.21,0.0
20230102:2130,0.0,0.0,5.08,6.9,0.0
20230102:2230,0.0,0.0,5.06,6.62,0.0
20230102:2330,0.0,0.0,5.37,7.17,0.0
