Latitude (decimal degrees):	16.850
Longitude (decimal degrees):	-24.870
Elevation (m):	3
Radiation database:	PVGIS-SARAH3


Slope: 18 deg. (optimum)
Azimuth: 6 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0007,0.0,0.0,22.96,4.62,0.0
20230101:0107,0.0,0.0,22.79,4.76,0.0
20230101:0207,0.0,0.0,22.61,4.76,0.0
20230101:0307,0.0,0.0,22.5,4.69,0.0
20230101:0407,0.0,0.0,22.39,4.69,0.0
20230101:0507,0.0,0.0,22.3,4.76,0.0
20230101:0607,0.0,0.0,22.27,4.9,0.0
20230101:0707,0.0,0.0,22.31,5.17,0.0
20230101:0807,0.0,0.0,22.37,5.17,0.0
20230101:0907,172.27,11.89,22.53,5.31,0.0
20230101:1007,489.04,24.06,22.47,5.31,0.0
20230101:1107,705.48,35.02,22.62,5.17,0.0
20230101:1207,869.67,43.87,22.75,4.9,0.0
20230101:1307,945.83,49.23,22.91,4.83,0.0
20230101:1407,842.34,49.67,23.1,4.83,0.0
20230101:1507,902.63,45.05,23.3,4.9,0.0
20230101:1607,535.69,36.66,23.35,5.17,0.0
20230101:1707,487.95,25.98,23.33,5.59,0.0
20230101:1807,138.57,13.97,23.35,6.34,0.0
20230101:1907,0.0,0.0,23.33,6.97,0.0
20230101:2007,0.0,0.0,23.29,7.45,0.0
20230101:2107,0.0,0.0,23.19,7.79,0.0
20230101:2207,0.0,0.0,23.05,7.93,0.0
20230101:2307,0.0,0.0,22.99,7.93,0.0
20230102:0007,0.0,0.0,22.93,7.72,0.0
20230102:0107,0.0,0.0,22.89,7.45,0.0
20230102:0207,0.0,0.0,22.87,7.24,0.0
20230102:0307,0.0,0.0,22.83,7.1,0.0
20230102:0407,0.0,0.0,22.79,7.1,0.0
20230102:0507,0.0,0.0,22.8,6.9,0.0
20230102:0607,0.0,0.0,22.81,6.83,0.0
20230102:0707,0.0,0.0,22.81,6.9,0.0
20230102:0807,0.0,0.0,22.88,7.17,0.0
20230102:0907,163.84,11.84,22.96,7.38,0.0
20230102:1007,357.07,24.02,23.22,7.17,0.0
20230102:1107,653.31,35.0,23.39,7.17,0.0
20230102:1207,751.49,43.89,23.54,6.9,0.0
20230102:1307,909.64,49.3,23.63,6.76,0.0
20230102:1407,922.49,49.78,23.71,6.55,0.0
20230102:1507,857.52,45.17,23.8,6.34,0.0
20230102:1607,655.39,36.79,23.89,6.21,0.0
20230102:1707,494.21,26.11,23.95,6.14,0.0
20230102:1807,236.83,14.1,23.98,6.0,0.0
20230102:1907,0.0,0.0,23.99,5.86,0.0
20230102:2007,0.0,0.0,24.07,5.79,0.0
20230102:2107,0.0,0.0,24.14,5.93,0.0
20230102:2207,0.0,0.0,24.16,6.28,0.0
20230102:2307,0.0,0.0,24.2,6.41,0.0
20230103:0007,0.0,0.0,24.21,6.9,0.0
20230103:0107,0.0,0.0,24.23,7.59,0.0
20230103:0207,0.0,0.0,24.09,8.07,0.0
20230103:0307,0.0,0.0,24.07,7.66,0.0
20230103:0407,0.0,0.0,24.02,7.59,0.0
20230103:0507,0.0,0.0,24.02,7.93,0.0
20230103:0607,0.0,0.0,23.98,8.14,0.0
20230103:0707,0.0,0.0,23.96,8.41,0.0
20230103:0807,0.0,0.0,23.96,8.48,0.0
20230103:0907,219.75,11.78,23.95,8.48,0.0
20230103:1007,476.41,23.98,24.0,8.83,0.0
20230103:1107,687.8,34.99,24.0,8.97,0.0
20230103:1207,851.67,43.92,23.93,9.24,0.0
20230103:1307,956.12,49.36,23.86,9.31,0.0
20230103:1407,932.18,49.88,23.8,9.31,0.0
20230103:1507,897.47,45.3,23.78,9.17,0.0
20230103:1607,707.14,36.93,23.8,8.97,0.0
20230103:1707,225.53,26.25,23.81,8.76,0.0
20230103:1807,95.47,14.23,23.8,8.76,0.0
20230103:1907,0.0,0.0,23.76,8.76,0.0
20230103:2007,0.0,0.0,23.71,8.9,0.0
20230103:2107,0.0,0.0,23.65,9.03,0.0
20230103:2207,0.0,0.0,23.61,9.38,0.0
20230103:2307,0.0,0.0,23.54,9.38,0.0
20230104:0007,0.0,0.0,23.48,9.31,0.0
20230104:0107,0.0,0.0,23.37,9.24,0.0
20230104:0207,0.0,0.0,23.3,9.24,0.0
20230104:0307,0.0,0.0,23.23,9.24,0.0
20230104:0407,0.0,0.0,23.19,9.31,0.0
20230104:0507,0.0,0.0,23.18,9.31,0.0
20230104:0607,0.0,0.0,23.21,9.31,0.0
20230104:0707,0.0,0.0,23.22,9.17,0.0
20230104:0807,0.0,0.0,23.26,9.17,0.0
20230104:0907,187.67,11.73,23.31,9.24,0.0
20230104:1007,248.22,23.95,23.58,9.1,0.0
20230104:1107,394.5,34.98,23.65,8.9,0.0
20230104:1207,779.62,43.95,23.72,8.55,0.0
20230104:1307,941.91,49.44,23.78,8.28,0.0
20230104:1407,937.33,50.0,23.82,8.07,0.0
20230104:1507,890.74,45.44,23.86,8.0,0.0
20230104:1607,722.55,37.07,23.86,8.0,0.0
20230104:1707,524.46,26.39,23.85,8.07,0.0
20230104:1807,230.11,14.36,23.8,8.14,0.0
20230104:1907,0.0,0.0,23.76,8.14,0.0
20230104:2007,0.0,0.0,23.71,8.21,0.0
20230104:2107,0.0,0.0,23.68,8.14,0.0
20230104:2207,0.0,0.0,23.65,8.41,0.0
20230104:2307,0.0,0.0,23.59,8.62,0.0
20230105:0007,0.0,0.0,23.52,8.55,0.0
20230105:0107,0.0,0.0,23.46,8.41,0.0
20230105:0207,0.0,0.0,23.4,8.28,0.0
20230105:0307,0.0,0.0,23.34,8.14,0.0
20230105:0407,0.0,0.0,23.28,8.07,0.0
20230105:0507,0.0,0.0,23.24,8.0,0.0
20230105:0607,0.0,0.0,23.2,7.93,0.0
20230105:0707,0.0,0.0,23.2,8.07,0.0
20230105:0807,0.0,0.0,23.24,8.14,0.0
20230105:0907,167.82,11.68,23.29,8.21,0.0
20230105:1007,324.56,23.92,23.29,8.0,0.0
20230105:1107,641.45,34.98,23.4,8.07,0.0
20230105:1207,292.12,43.98,23.47,8.0,0.0
20230105:1307,750.52,49.52,23.56,7.86,0.0
20230105:1407,690.12,50.12,23.63,7.66,0.0
20230105:1507,638.95,45.58,23.7,7.66,0.0
20230105:1607,567.86,37.22,23.74,7.66,0.0
20230105:1707,463.69,26.53,23.78,7.72,0.0
20230105:1807,224.18,14.5,23.78,7.79,0.0
20230105:1907,0.96,1.69,23.75,7.86,0.0
20230105:2007,0.0,0.0,23.67,7.86,0.0
20230105:2107,0.0,0.0,23.61,7.72,0.0
20230105:2207,0.0,0.0,23.56,7.59,0.0
20230105:2307,0.0,0.0,23.48,7.45,0.0
20230106:0007,0.0,0.0,23.41,7.38,0.0
20230106:0107,0.0,0.0,23.26,7.38,0.0
20230106:0207,0.0,0.0,23.12,7.38,0.0
20230106:0307,0.0,0.0,22.96,7.45,0.0
